id,created_at,text,favorite_count,retweet_count
911232891119480832,2017-09-22,"b'Over 80,000 U.S. workers are employed by U.S. subsidiaries of Spanish companies. (4/5)'",141,57
911230415951687681,2017-09-22,b'99% of Internet data is transmitted through transoceanic submarine cables. (3/5)',300,107
911229127159562240,2017-09-22,"b'$140 billion in digital services were exported from the US to the EU in 2012, comprising 72% of all services exported to the EU. (2/5)'",169,112
911227884248772608,2017-09-22,"b""Today, we announced the completion of the Marea subsea cable. Here are a few reasons why it's important: (1/5) https://t.co/DoEqhdz1Oo""",1261,850
911221780093661184,2017-09-22,"b""Tune in now: We're celebrating the completion of the world's highest-capacity subsea cable: https://t.co/CEVDvzGHRo https://t.co/GKzLeJ86Oy""",185,80
911217783135862785,2017-09-22,"b'Today marks the completion of the Marea subsea cable, which links Bilbao, Spain to Virginia, USA. https://t.co/kdfUUW4yxM'",374,198
910574278894002176,2017-09-20,b'Junk removal that adds something to the world: Veterans are growing their own franchises with tech in hand. https://t.co/URrk19oBm4',135,60
910185333970444288,2017-09-19,"b'#HitRefresh is available next week, but you can pre-order it right now: https://t.co/EOpHgPLYF1'",300,131
909872421435408387,2017-09-18,"b""1 week until #MSIgnite &amp; #MSEnvision, our annual event for tech &amp; business leaders. RT if you'll be joining us in O\xe2\x80\xa6 https://t.co/MLzZXW3gLu""",428,330
909867747743432707,2017-09-18,b'How do you get machines to read? This three minute video will tell you. https://t.co/gEtv5BWyzf',154,65
909780416864804865,2017-09-18,b'From @FastCompany: A conversation with Microsoft CEO @SatyaNadella and an exclusive excerpt of his book #HitRefresh https://t.co/sBCSDoqan5',600,305
908830930051112960,2017-09-15,"b'In his new book, #HitRefresh, @SatyaNadella shares the inside story of Microsoft in the midst of a transformation. https://t.co/KD3Go4in9c'",278,144
908735947335798784,2017-09-15,"b'""Books are so often written by leaders looking back on their tenures, not while they\xe2\x80\x99re in the fog of war."" https://t.co/9sbmlWQdM2'",316,111
908386220299997184,2017-09-14,"b'In his book #HitRefresh, Satya Nadella discusses the impact of tech, and his vision for the future.\n\nPre-order now:\xe2\x80\xa6 https://t.co/eW8iZKEXGm'",466,186
908111874935341056,2017-09-13,"b""From @TheEconomist: How Satya Nadella's vision links a renewed culture on the ground to advances in the cloud. https://t.co/BqgrK4gNvT""",276,130
908034292890050560,2017-09-13,"b""You don't want to keep milk waiting. This packaging giant uses #IoT to predict equipment faults and preserve food:\xe2\x80\xa6 https://t.co/dV9h3hgEod""",252,116
906573620582813696,2017-09-09,b'Another great panel at #CreateCultivateSEA: Snackable content: The tastemakers at the intersection of food and digi\xe2\x80\xa6 https://t.co/Xr2QL209iQ',180,54
906572170620366848,2017-09-09,b'@createcultivate @sloanhilary @SimonGJewelry @dormify @sorelfootwear @express Thanks to @MaxieMcCoy for hosting thi\xe2\x80\xa6 https://t.co/QaE3zcRoo8',11,13
906547117962883073,2017-09-09,"b""We like what you've done with the place, @CreateCultivate #CreateCultivateSEA https://t.co/lDYBRkk5kS""",135,38
906531770010439680,2017-09-09,"b""Welcome to our home, #CreateCultivateSEA. We're happy to host this conference that inspires and empowers so many wo\xe2\x80\xa6 https://t.co/SPHDfrKF72""",317,95
906374342430253056,2017-09-09,"b""25 years? That's a good candidate for our 13,000th tweet. Congrats, @GabeAul. https://t.co/PTlwYgJ0Ma""",524,80
906349335578787845,2017-09-09,b'@SimonGJewelry @createcultivate Same. See you on campus!',5,8
906349042480775168,2017-09-09,b'@express Same. :) The trailer looks amazing. See you on campus!',2,6
906320934281162752,2017-09-09,b'@MorganDeBaun @createcultivate Same. :)',3,6
906320828534362112,2017-09-09,b'@lacroixwater @createcultivate We are and we will. :)',1,5
906320146888720384,2017-09-09,b'@alixrose @createcultivate We are. Looking forward to hosting you in our home.',4,5
906319376915226624,2017-09-09,b'@RawStitches @createcultivate Us. Looking forward to hosting you.',2,6
906309844616937472,2017-09-09,"b""Welcome to our home base, @CreateCultivate. We're happy to be your hosts for this event that empowers and inspires\xe2\x80\xa6 https://t.co/iGg21JAlyK""",229,54
906278471478894592,2017-09-08,"b""Microsoft is featured in @FortuneMagazine's #ChangeTheWorld list. Learn more: https://t.co/zkQhZXVwuw https://t.co/o37P0LU1m8""",153,52
906242396018507776,2017-09-08,"b'.@FortuneMagazine travels with Microsoft CEO @SatyaNadella in a story of family, future &amp; his greatest inspirations.https://t.co/cusViRCRjl'",212,70
905553203227369472,2017-09-06,"b'CEO @SatyaNadella reflects on writing his new book and the inspiration behind the title, #HitRefresh. https://t.co/uRadSShpoQ'",490,215
905116483339960320,2017-09-05,"b"".@FT lists Satya Nadella's #HitRefresh, available September 26, among 2017's best business books. https://t.co/df2Oekb8Ab""",241,81
903374719088443392,2017-08-31,"b'Binge-listen to season 1 of .future, our podcast about the world of tomorrow. \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbchttps://t.co/NFzrpFkeq9 https://t.co/pENxc2n1BR'",143,58
903345130765090817,2017-08-31,"b""Microsoft President @BradSmi on the advantage of a tech culture that doesn't know it all, but humbly learns it all. https://t.co/0cPpYdt8dA""",184,70
903328619056963584,2017-08-31,"b""Podcast playlist: Season 1 of .future, a show about today's designers making tomorrow's tech. https://t.co/6jG3Ehghez""",142,46
902988045212827648,2017-08-30,b'The @NYTimes reports on our work with Amazon to extend the abilities of Cortana and Alexa devices. https://t.co/dku82xKv0B',250,98
902863565710737408,2017-08-30,"b'Hey Cortana, meet Alexa. https://t.co/0HgpNFnT71 https://t.co/MI33q7azxg'",3070,1480
902750101147353089,2017-08-30,"b""Our thoughts are with those impacted by #HurricaneHarvey. Here's what we're doing to support response efforts:\xe2\x80\xa6 https://t.co/XIvRsC1xuU""",604,219
902251482103242752,2017-08-28,"b""We've made a donation to the @RedCross to support #HurricaneHarvey response. Please join us. https://t.co/ZnFFJLJadF""",900,301
902155546718986240,2017-08-28,b'Windows Mixed Reality is the future. Learn more about the immersive experiences on the horizon:\xe2\x80\xa6 https://t.co/bhqRRilFKT',911,453
